The	O
transcription	O
factor	O
hepatocyte	O
nuclear	O
factor	O
(	O
HNF	O
)	O
-	O
6	O
is	O
an	O
upstream	O
regulator	O
of	O
several	O
genes	O
involved	O
in	O
the	O
pathogenesis	O
of	O
maturity	O
-	O
onset	O
diabetes	O
of	O
the	O
young	O
.	O
We	O
therefore	O
tested	O
the	O
hypothesis	O
that	O
variability	O
in	O
the	O
HNF	O
-	O
6	O
gene	O
is	O
associated	O
with	O
subsets	O
of	O
Type	O
II	O
(	O
non	O
-	O
insulin	O
-	O
dependent	O
)	O
diabetes	O
mellitus	O
and	O
estimates	O
of	O
insulin	O
secretion	O
in	O
glucose	B
tolerant	O
subjects	O
.	O
We	O
cloned	O
the	O
coding	O
region	O
as	O
well	O
as	O
the	O
intron	O
-	O
exon	O
boundaries	O
of	O
the	O
HNF	O
-	O
6	O
gene	O
.	O
We	O
then	O
examined	O
them	O
on	O
genomic	O
DNA	O
in	O
six	O
MODY	O
probands	O
without	O
mutations	O
in	O
the	O
MODY1	O
,	O
MODY3	O
and	O
MODY4	O
genes	O
and	O
in	O
54	O
patients	O
with	O
late	O
-	O
onset	O
Type	O
II	O
diabetes	O
by	O
combined	O
single	O
strand	O
conformational	O
polymorphism	O
-	O
heteroduplex	O
analysis	O
followed	O
by	O
direct	O
sequencing	O
of	O
identified	O
variants	O
.	O
An	O
identified	O
missense	O
variant	O
was	O
examined	O
in	O
association	O
studies	O
and	O
genotype	O
-	O
phenotype	O
studies	O
.	O
We	O
identified	O
two	O
silent	O
and	O
one	O
missense	O
(	O
Pro75	O
Ala	O
)	O
variant	O
.	O
In	O
an	O
association	O
study	O
the	O
allelic	O
frequency	O
of	O
the	O
Pro75Ala	O
polymorphism	O
was	O
3	O
.	O
2	O
%	O
(	O
95	O
%	O
confidence	O
interval	O
,	O
1	O
.	O
9	O
-	O
4	O
.	O
5	O
)	O
in	O
330	O
patients	O
with	O
Type	O
II	O
diabetes	O
mellitus	O
compared	O
with	O
4	O
.	O
2	O
%	O
(	O
2	O
.	O
4	O
-	O
6	O
.	O
0	O
)	O
in	O
238	O
age	O
-	O
matched	O
glucose	B
tolerant	O
control	O
subjects	O
.	O
Moreover	O
,	O
in	O
studies	O
of	O
238	O
middle	O
-	O
aged	O
glucose	B
tolerant	O
subjects	O
,	O
of	O
226	O
glucose	B
tolerant	O
offspring	O
of	O
Type	O
II	O
diabetic	O
patients	O
and	O
of	O
367	O
young	O
healthy	O
subjects	O
,	O
the	O
carriers	O
of	O
the	O
polymorphism	O
did	O
not	O
differ	O
from	O
non	O
-	O
carriers	O
in	O
glucose	B
induced	O
serum	O
insulin	O
or	O
C	O
-	O
peptide	O
responses	O
.	O
Mutations	O
in	O
the	O
coding	O
region	O
of	O
the	O
HNF	O
-	O
6	O
gene	O
are	O
not	O
associated	O
with	O
Type	O
II	O
diabetes	O
or	O
with	O
changes	O
in	O
insulin	O
responses	O
to	O
glucose	B
among	O
the	O
Caucasians	O
examined	O
.	O

We	O
have	O
identified	O
a	O
type	O
II	O
Ca2	O
+	O
-	O
dependent	O
lectin	O
displaying	O
mannose	B
-	O
binding	O
specificity	O
,	O
exclusively	O
expressed	O
by	O
Langerhans	O
cells	O
(	O
LC	O
)	O
,	O
and	O
named	O
Langerin	O
.	O
LC	O
are	O
uniquely	O
characterized	O
by	O
Birbeck	O
granules	O
(	O
BG	O
)	O
,	O
which	O
are	O
organelles	O
consisting	O
of	O
superimposed	O
and	O
zippered	O
membranes	O
.	O
Here	O
,	O
we	O
have	O
shown	O
that	O
Langerin	O
is	O
constitutively	O
associated	O
with	O
BG	O
and	O
that	O
antibody	O
to	O
Langerin	O
is	O
internalized	O
into	O
these	O
structures	O
.	O
Remarkably	O
,	O
transfection	O
of	O
Langerin	O
cDNA	O
into	O
fibroblasts	O
created	O
a	O
compact	O
network	O
of	O
membrane	O
structures	O
with	O
typical	O
features	O
of	O
BG	O
.	O
Langerin	O
is	O
thus	O
a	O
potent	O
inducer	O
of	O
membrane	O
superimposition	O
and	O
zippering	O
leading	O
to	O
BG	O
formation	O
.	O
Our	O
data	O
suggest	O
that	O
induction	O
of	O
BG	O
is	O
a	O
consequence	O
of	O
the	O
antigen	O
-	O
capture	O
function	O
of	O
Langerin	O
,	O
allowing	O
routing	O
into	O
these	O
organelles	O
and	O
providing	O
access	O
to	O
a	O
nonclassical	O
antigen	O
-	O
processing	O
pathway	O
.	O

Apomorphine	B
:	O
an	O
underutilized	O
therapy	O
for	O
Parkinson	O
'	O
s	O
disease	O
.	O

Apomorphine	B
was	O
the	O
first	O
dopaminergic	B
drug	I
ever	O
used	O
to	O
treat	O
symptoms	O
of	O
Parkinson	O
'	O
s	O
disease	O
.	O
While	O
powerful	O
antiparkinsonian	O
effects	O
had	O
been	O
observed	O
as	O
early	O
as	O
1951	O
,	O
the	O
potential	O
of	O
treating	O
fluctuating	O
Parkinson	O
'	O
s	O
disease	O
by	O
subcutaneous	O
administration	O
of	O
apomorphine	B
has	O
only	O
recently	O
become	O
the	O
subject	O
of	O
systematic	O
study	O
.	O
A	O
number	O
of	O
small	O
scale	O
clinical	O
trials	O
have	O
unequivocally	O
shown	O
that	O
intermittent	O
subcutaneous	O
apomorphine	B
injections	O
produce	O
antiparkinsonian	O
benefit	O
close	O
if	O
not	O
identical	O
to	O
that	O
seen	O
with	O
levodopa	B
and	O
that	O
apomorphine	B
rescue	O
injections	O
can	O
reliably	O
revert	O
off	O
-	O
periods	O
even	O
in	O
patients	O
with	O
complex	O
on	O
-	O
off	O
motor	O
swings	O
.	O
Continuous	O
subcutaneous	O
apomorphine	B
infusions	O
can	O
reduce	O
daily	O
off	O
-	O
time	O
by	O
more	O
than	O
50	O
%	O
in	O
this	O
group	O
of	O
patients	O
,	O
which	O
appears	O
to	O
be	O
a	O
stronger	O
effect	O
than	O
that	O
generally	O
seen	O
with	O
add	O
-	O
on	O
therapy	O
with	O
oral	O
dopamine	B
agonists	I
or	O
COMT	B
inhibitors	I
.	O
Extended	O
follow	O
-	O
up	O
studies	O
of	O
up	O
to	O
8	O
years	O
have	O
demonstrated	O
long	O
-	O
term	O
persistence	O
of	O
apomorphine	B
efficacy	O
.	O
In	O
addition	O
,	O
there	O
is	O
convincing	O
clinical	O
evidence	O
that	O
monotherapy	O
with	O
continuous	O
subcutaneous	O
apomorphine	B
infusions	O
is	O
associated	O
with	O
marked	O
reductions	O
of	O
preexisting	O
levodopa	B
-	O
induced	O
dyskinesias	O
.	O
The	O
main	O
side	O
effects	O
of	O
subcutaneous	O
apomorphine	B
treatment	O
are	O
related	O
to	O
cutaneous	O
tolerability	O
problems	O
,	O
whereas	O
sedation	O
and	O
psychiatric	O
complications	O
play	O
a	O
lesser	O
role	O
.	O
Given	O
the	O
marked	O
degree	O
of	O
efficacy	O
of	O
subcutaneous	O
apomorphine	B
treatment	O
in	O
fluctuating	O
Parkinson	O
'	O
s	O
disease	O
,	O
this	O
approach	O
seems	O
to	O
deserve	O
more	O
widespread	O
clinical	O
use	O
.	O

A	O
new	O
Rab6	O
homolog	O
cDNA	O
,	O
Rab6c	O
,	O
was	O
discovered	O
by	O
a	O
hypermethylated	O
DNA	O
fragment	O
probe	O
that	O
was	O
isolated	O
from	O
a	O
human	O
multidrug	O
resistant	O
(	O
MDR	O
)	O
breast	O
cancer	O
cell	O
line	O
,	O
MCF7	O
/	O
AdrR	O
,	O
by	O
the	O
methylation	O
sensitive	O
-	O
representational	O
difference	O
analysis	O
(	O
MS	O
-	O
RDA	O
)	O
technique	O
.	O
Rab6c	O
was	O
found	O
to	O
be	O
under	O
-	O
expressed	O
in	O
MCF7	O
